"DateTime";"G2P";"G2G";"P2G";"G2B";"B2G";"P2B";"B2P";"P2P";"B2B"
"2024-03-31";588508;3233565;2516314;2684022;3319080;192511006;207710394;515217177;664048454
"2024-04-30";1088215;3630200;2854796;4472959;5739541;202523510;223876752;528208427;763870757
"2024-05-31";5115724;3554182;3695288;3451952;5639246;211177114;226236225;555876655;755977471
"2024-06-30";7991668;3981747;2685072;6351789;6500885;211435396;226888230;556168031;754346756
"2024-07-31";7092567;3765691;2885744;3626893;7622833;228767977;249094483;585184823;866709060
"2024-08-31";5740049;3492088;2833280;5057474;7206562;234857429;254058254;595088046;839849160
"2024-09-30";1458321;3401887;3008855;6302681;7214599;232004227;251483570;581530665;850653588
"2024-10-31";1317487;4087419;3276769;7350677;8776235;246871921;266150728;615694674;934893966
"2024-11-30";1067982;3587753;3071474;10916673;8060732;250543623;263616659;622969253;917726771
"2024-12-31";1136651;5434711;3982026;6634074;11554119;277995041;295723268;701925180;1024702968
"2025-01-31";1036011;3931150;6390287;3429220;12025614;244403609;254994832;575858291;974694807
"2025-02-28";1183743;4571828;5040113;5711239;9975092;241025961;256510979;585901180;934486990
"2025-03-31";1098106;4629691;4992793;5902822;9992306;261969276;274744180;624154857;984936468
"2025-04-30";1919201;4887858;5104073;4780150;11659216;270486220;290271496;638687432;1026258159
"2025-05-31";7914880;4895315;6973029;5970998;10816806;286528814;297050446;682395804;1076677199
"2025-06-30";9181246;4959664;4901654;13127680;11141339;281175003;293535458;663624053;1113784639
"2025-07-31";8963742;4432082;5062476;6996008;13546110;298958982;309461289;704233223;1210353503
"2025-08-31";3574779;4797690;4844376;6784854;12454040;303033643;312272877;707704243;1194773960
"2025-09-30";2196625;4645566;5313556;7489426;13692039;308337125;321187122;702096688;1286608041
"2025-10-31";2318771;5051598;5469628;6577954;16103553;323966517;336788310;735114763;1335298108
"2025-11-30";1843909;5860977;4629105;8771074;14281886;322687150;320300482;722441312;1206859384
"2025-12-31";2577021;8072031;6173962;10176816;17099482;361888902;393178193;824101563;1523495388
"2026-01-31";1117691;6767022;9067456;5754303;20436857;319115977;306398288;693542457;1337725373
"2026-02-28";1675835;5141186;6758176;10218400;14879527;297422737;295035986;651994863;1280312601
